,id,name,year,min_players,max_players,playtime,min_time,max_time,min_age,cat_1,cat_2,cat_3,cat_4,cat_5,categories
0,174430,Gloomhaven,2017,1,4,120,60,120,14,Adventure,Exploration,Fantasy,Fighting,Miniatures,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
1,161936,Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,Environmental,Medical,N/A,N/A,N/A,"['Environmental', 'Medical', 'N/A', 'N/A', 'N/A']"
2,224517,Brass: Birmingham,2018,2,4,120,60,120,14,Economic,Industry / Manufacturing,Transportation,N/A,N/A,"['Economic', 'Industry / Manufacturing', 'Transportation', 'N/A', 'N/A']"
3,167791,Terraforming Mars,2016,1,5,120,120,120,12,Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration']"
4,291457,Gloomhaven: Jaws of the Lion,2020,1,4,120,30,120,14,Adventure,Exploration,Fantasy,Fighting,Miniatures,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
5,233078,Twilight Imperium: Fourth Edition,2017,3,6,480,240,480,14,Civilization,Economic,Exploration,Negotiation,Political,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political']"
6,220308,Gaia Project,2017,1,4,150,60,150,12,Economic,Science Fiction,Space Exploration,Territory Building,N/A,"['Economic', 'Science Fiction', 'Space Exploration', 'Territory Building', 'N/A']"
7,187645,Star Wars: Rebellion,2016,2,4,240,180,240,14,Civil War,Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction,"['Civil War', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']"
8,182028,Through the Ages: A New Story of Civilization,2015,2,4,120,120,120,14,Card Game,Civilization,Economic,N/A,N/A,"['Card Game', 'Civilization', 'Economic', 'N/A', 'N/A']"
9,193738,Great Western Trail,2016,2,4,150,75,150,12,American West,Animals,Economic,N/A,N/A,"['American West', 'Animals', 'Economic', 'N/A', 'N/A']"
10,162886,Spirit Island,2017,1,4,120,90,120,13,Age of Reason,Environmental,Fantasy,Fighting,Mythology,"['Age of Reason', 'Environmental', 'Fantasy', 'Fighting', 'Mythology']"
11,115746,War of the Ring: Second Edition,2012,2,4,180,150,180,13,Adventure,Fantasy,Fighting,Miniatures,Novel-based,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Novel-based']"
12,12333,Twilight Struggle,2005,2,2,180,120,180,13,Modern Warfare,Political,Wargame,N/A,N/A,"['Modern Warfare', 'Political', 'Wargame', 'N/A', 'N/A']"
13,169786,Scythe,2016,1,5,115,90,115,14,Economic,Fighting,Miniatures,Science Fiction,Territory Building,"['Economic', 'Fighting', 'Miniatures', 'Science Fiction', 'Territory Building']"
14,84876,The Castles of Burgundy,2011,2,4,90,30,90,12,Dice,Medieval,Territory Building,N/A,N/A,"['Dice', 'Medieval', 'Territory Building', 'N/A', 'N/A']"
15,173346,7 Wonders Duel,2015,2,2,30,30,30,10,Ancient,Card Game,City Building,Civilization,Economic,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']"
16,120677,Terra Mystica,2012,2,5,150,60,150,12,Civilization,Economic,Fantasy,Territory Building,N/A,"['Civilization', 'Economic', 'Fantasy', 'Territory Building', 'N/A']"
17,124361,Concordia,2013,2,5,100,100,100,13,Ancient,Economic,Nautical,N/A,N/A,"['Ancient', 'Economic', 'Nautical', 'N/A', 'N/A']"
18,28720,Brass: Lancashire,2007,2,4,120,60,120,14,Economic,Industry / Manufacturing,Post-Napoleonic,Transportation,N/A,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation', 'N/A']"
