,id,name,collection_rank,geek_rating,avg_rating,num_voters,price
0,174430,Gloomhaven,1,8.529,8.76,45590,$107.99
1,161936,Pandemic Legacy: Season 1,2,8.452,8.6,43674,$79.99
2,224517,Brass: Birmingham,3,8.409,8.67,23026,$89.95
3,167791,Terraforming Mars,4,8.279,8.42,70383,$49.31
4,291457,Gloomhaven: Jaws of the Lion,5,8.262,8.75,13053,$34.93
5,233078,Twilight Imperium: Fourth Edition,6,8.257,8.68,14992,$149.95
6,220308,Gaia Project,7,8.177,8.49,17912,$99.95
7,187645,Star Wars: Rebellion,8,8.173,8.43,24590,$99.95
8,182028,Through the Ages: A New Story of Civilization,9,8.162,8.4,24620,$46.94
9,193738,Great Western Trail,10,8.129,8.3,31578,$67.86
10,162886,Spirit Island,11,8.127,8.36,29534,$73.99
11,115746,War of the Ring: Second Edition,12,8.126,8.51,14768,(unavailable)
12,12333,Twilight Struggle,13,8.123,8.29,42195,$89.95
13,169786,Scythe,14,8.072,8.23,61832,$90.00
14,84876,The Castles of Burgundy,15,8.01,8.13,48893,$49.96
15,173346,7 Wonders Duel,16,7.983,8.11,65689,$35.00
16,120677,Terra Mystica,17,7.978,8.13,40863,$79.99
17,124361,Concordia,18,7.966,8.12,30075,$49.44
18,28720,Brass: Lancashire,19,7.965,8.18,20334,$89.98
19,167355,Nemesis,20,7.952,8.39,15467,$140.70
20,266192,Wingspan,21,7.947,8.11,50775,$56.65
21,177736,A Feast for Odin,22,7.938,8.2,18858,$79.99
22,205637,Arkham Horror: The Card Game,23,7.926,8.17,31163,$44.95
23,183394,Viticulture Essential Edition,24,7.903,8.07,32631,$46.63
24,164928,Orléans,25,7.888,8.08,23613,$59.95
25,237182,Root,26,7.883,8.11,28652,$73.99
26,96848,Mage Knight Board Game,27,7.88,8.1,28806,$95.60
27,199792,Everdell,28,7.863,8.1,25433,$60.00
28,3076,Puerto Rico,29,7.848,7.98,64498,$44.95
29,316554,Dune: Imperium,30,7.839,8.33,9618,$55.00
30,102794,Caverna: The Cave Farmers,31,7.835,8.01,29075,$65.99
